characters,search_terms,search_space_size,names_by_length,unresolved_items,disambiguated_names,possible_misses,KPraw,%KP
1,16,42,0,29,13,26,,
2,8,29,0,26,16,21,5.0,0.119
3,6,26,0,26,16,20,1.0,0.0238
4,7,26,0,24,18,19,1.0,0.0238
5,5,24,0,24,18,19,0.0,0.0
6,5,24,0,24,18,19,0.0,0.0
7,5,24,0,24,18,19,0.0,0.0
8,20,23,1,5,36,3,16.0,0.381
9,2,4,1,4,36,2,1.0,0.0238
10,3,4,0,2,38,1,1.0,0.0238
11,1,2,0,2,38,1,0.0,0.0
12,2,2,0,0,40,0,1.0,0.0238
13,0,0,0,0,40,0,0.0,0.0
14,0,0,0,0,40,0,0.0,0.0
15,0,0,0,0,40,0,0.0,0.0
16,0,0,0,0,40,0,0.0,0.0
17,0,0,0,0,40,0,0.0,0.0
18,0,0,0,0,40,0,0.0,0.0
19,0,0,0,0,40,0,0.0,0.0
20,0,0,0,0,40,0,0.0,0.0
21,0,0,0,0,40,0,0.0,0.0
22,0,0,0,0,40,0,0.0,0.0
