characters,search_terms,search_space_size,names_by_length,unresolved_items,disambiguated_names,possible_misses,KPraw,%KP
1,24,223,0,218,5,199,,
2,92,218,0,178,45,126,73.0,0.3274
3,127,178,0,80,143,51,75.0,0.3363
4,60,80,0,31,192,20,31.0,0.139
5,18,31,0,21,202,13,7.0,0.0314
6,13,21,0,12,211,8,5.0,0.0224
7,5,12,0,11,212,7,1.0,0.0045
8,5,11,0,9,214,6,1.0,0.0045
9,8,9,0,2,221,1,5.0,0.0224
10,1,2,0,2,221,1,0.0,0.0
11,1,1,1,0,222,0,1.0,0.0045
12,0,0,0,0,222,0,0.0,0.0
13,0,0,0,0,222,0,0.0,0.0
14,0,0,0,0,222,0,0.0,0.0
15,0,0,0,0,222,0,0.0,0.0
16,0,0,0,0,222,0,0.0,0.0
17,0,0,0,0,222,0,0.0,0.0
18,0,0,0,0,222,0,0.0,0.0
19,0,0,0,0,222,0,0.0,0.0
20,0,0,0,0,222,0,0.0,0.0
21,0,0,0,0,222,0,0.0,0.0
22,0,0,0,0,222,0,0.0,0.0
